uuid,invoiceId,date,school,sorority,product,amount,productQty,unitPrice
076f6fb8-1a54-4aec-ad04-1c0e0502d098,1760,2023-10-18,DePaul,Alpha Phi,Unisex Zip-Up,1350.0,30,45
31b64fe0-960a-40cf-87e0-67ce04461d08,1758,2023-10-18,UCSD,Chi Omega,Unisex Hoodie,1040.0,26,40
dcf6347a-fb84-4c4f-9a63-d3e2dfa1a8b2,1758,2023-10-18,UCSD,Chi Omega,Catalina Flare Sweats,874.0,23,38
fd05919d-016f-4e57-931d-64c2fc4d5fc1,1758,2023-10-18,UCSD,Chi Omega,San Clemente Shorts,330.0,11,30
806f9194-4cc1-4ea5-858c-1579091c3de5,1758,2023-10-18,UCSD,Chi Omega,Unisex Hoodie,960.0,24,40
ed0b130e-fdfd-4710-9900-10fe7cf0bfe1,1758,2023-10-18,UCSD,Chi Omega,Catalina Flare Sweats,760.0,20,38
c8f91dbe-f3b9-4076-86e9-579127bb2aa8,1758,2023-10-18,UCSD,Chi Omega,San Clemente Shorts,360.0,12,30
6ae2095c-665b-4ae4-8244-56044a1c07b1,1757,2023-10-18,Elmhurst,Alpha Phi,Unisex Crewneck,740.0,37,20
af79ccd5-8a03-4a83-980d-fb27f4506d79,1757,2023-10-18,Elmhurst,Alpha Phi,Unisex Tee,240.0,12,20
41072da8-2ae3-4842-8176-63bb5372305d,1756,2023-10-18,UCF,Kappa Kappa Gamma,Unisex Crewneck,1680.0,48,35
c5cb3cc6-08af-46a5-99d3-f1f356db55e4,1754,2023-10-18,Cal Poly Slo,Sigma Kappa,Bella+Canvas 6004,980.0,49,20
a4058942-8131-48df-a1f7-3922c89bef51,1753,2023-10-18,Cal Poly Pomona,Chi Omega,Malibu Tank,748.0,34,22
25929b5d-db4d-4625-9196-227635b17f93,1753,2023-10-18,Cal Poly Pomona,Chi Omega,San Clemente Shorts,990.0,33,30
50ada9f1-f937-4c2c-99ea-c82036d48db1,1753,2023-10-18,Cal Poly Pomona,Chi Omega,Credit Card Fee,54.12,1,54.12
320ed528-d6ed-47f6-937c-b7560195d542,1752,2023-10-18,Marquette,Sigma Kappa,Newport Tee,1615.0,85,19
050a884d-b212-4e32-8861-94f5987c9878,1752,2023-10-18,Marquette,Sigma Kappa,Newport Tee,893.0,47,19
60c53998-d3b9-4654-b458-305815d738e8,1752,2023-10-18,Marquette,Sigma Kappa,Credit Card Fee,75.24,1,75.24
d9a1517c-8ed0-49e0-a8d3-3226cc50926c,1751,2023-10-18,Rhode Island,Alpha Xi Delta,Unisex Hoodie,4896.0,102,48
8e2952e2-45d0-4bdc-a8a3-e463764c6f7a,1751,2023-10-18,Rhode Island,Alpha Xi Delta,Credit Card Fee,146.88,1,146.88
ab861986-ffed-4668-9caf-b5d55348d630,1750,2023-10-18,CSUN,Delta Zeta,Unisex Zip-Up,3195.0,71,45
f0843a03-694b-4cc2-a724-c33d019250e8,1641,2023-09-21,JMU,Delta Delta Delta,Button,787.5,315,2.5
338ce63d-37fc-44ee-aa55-dfb19655f702,1650,2023-09-25,Purdue,Kappa Alpha Theta,Venice Tee,702.0,39,18
3136be61-7fe9-4a5f-8d97-cc0522c6b858,1714,2023-10-09,,Vangst,Bucket Hat,1250.0,50,25
a8594c7b-f813-4ee4-a01a-6c718102ac01,1714,2023-10-09,,Vangst,Unisex Tee,1000.0,50,20
2d31d109-150f-4250-bd17-8aa74d9e348f,1714,2023-10-09,,Vangst,Credit Card Fee,67.5,1,67.5
93e28b6f-19ec-4a62-94d3-54c83e32d958,1680,2023-10-02,Creighton,Alpha Phi,THICK1,2550.0,51,50
8f229480-5be6-46d4-8a3e-6e558f0c3770,1680,2023-10-02,Creighton,Alpha Phi,Catalina Flare Sweats,1520.0,40,38
2332865a-8a5f-4185-b0dd-695c5520137d,1680,2023-10-02,Creighton,Alpha Phi,Baseball Hat,400.0,20,20
a4bf0d4b-e589-4640-bca4-89b202a44fc4,1680,2023-10-02,Creighton,Alpha Phi,Unisex Crewneck,1610.0,46,35
2193936b-66e9-4a40-bc76-4fb7bde2b0b7,1680,2023-10-02,Creighton,Alpha Phi,San Clemente Shorts,1344.0,42,32
802fc7c0-82ed-45d6-b998-56b9329ea191,1679,2023-10-02,CSUF,Gamma Phi Beta,LACE1,1425.0,57,25
433c0fb8-8298-49c8-9817-6697f7a7a843,1679,2023-10-02,CSUF,Gamma Phi Beta,Baseball Hat,1242.0,69,18
4cd2a7e2-5e62-455f-937c-02aa9b538fa1,1675,2023-10-02,Loyola,Alpha Sigma Alpha,Unisex Tee,264.0,12,22
fb5131af-9adb-46a9-aa30-967d1da8c6df,1675,2023-10-02,Loyola,Alpha Sigma Alpha,Unisex Crewneck,960.0,24,40
37f25873-c5ca-4d6b-bb81-f54d9a302caa,1674,2023-10-02,Kansas State,Zeta Tau Alpha,Huntington Dress,448.0,14,32
5a2006b7-9bf3-43cd-9ffe-8f32ea1c35aa,1674,2023-10-02,Kansas State,Zeta Tau Alpha,Unisex Zip-Up,1260.0,36,35
62d0c8a3-c22a-4036-aaa0-2bed939c2f7f,1674,2023-10-02,Kansas State,Zeta Tau Alpha,Oceanside Sweats,1120.0,28,40
b3a9a976-8b26-4f58-8e3c-756b4d27371a,1674,2023-10-02,Kansas State,Zeta Tau Alpha,Malibu Tank,975.0,39,25
65fcfbe0-9cfa-48ab-a611-ec59d3f18bf6,1673,2023-10-02,UCSB,Alpha Phi,Santa Monica Tank,425.0,25,17
bb9c1b00-c930-4739-9828-a864cd5b2afc,1673,2023-10-02,UCSB,Alpha Phi,Basketball Jersey,712.5,25,28.5
87c05e47-92fe-4b68-a298-a7446076578e,1673,2023-10-02,UCSB,Alpha Phi,Sticker,50.0,25,2
d38fa864-5753-4072-a0dd-ebd3fdde73fd,1673,2023-10-02,UCSB,Alpha Phi,Sticker,50.0,25,2
444526c5-2911-4813-85c8-f555ed8b6664,1670,2023-09-30,Kansas,Zeta Tau Alpha,Unisex Hoodie,1840.0,46,40
04402357-d0b6-4955-97fd-b22bbeee25c7,1670,2023-09-30,Kansas,Zeta Tau Alpha,Unisex Hoodie,2840.0,71,40
047d954b-ee04-4729-94fb-e286d7dc765f,1670,2023-09-30,Kansas,Zeta Tau Alpha,Oceanside Sweats,4788.0,133,36
d28a51cc-09ce-4379-b7eb-702973fef694,1670,2023-09-30,Kansas,Zeta Tau Alpha,Unisex Crewneck,576.0,16,36
b3ee0b29-f73f-49bd-b105-187172f43360,1668,2023-09-30,Tampa,Sigma Delta Tau,Unisex Tee,1620.0,90,18
97058167-1715-4f00-86cb-df335a756af1,1667,2023-09-29,Oregon State,Alpha Chi Omega,Unisex Crewneck,2058.0,49,42
5b09488b-652c-4740-af5c-af8cc7355d86,1667,2023-09-29,Oregon State,Alpha Chi Omega,Baseball Hat,256.0,16,16
638d540d-35a0-4268-8e37-01f91067df8f,1644,2023-09-21,Chapman,Pi Beta Phi,Trucker Hat,1350.0,75,18
17a5bae9-0b40-4499-8b9f-21b80c04b5fb,1638,2023-09-21,Sonoma,Alpha Xi Delta,Newport Tee,300.0,15,20
029d301b-ff57-45ce-9a89-f173d8cadaec,1620,2023-09-19,Washington,Alpha Chi Omega,Bella+Canvas 6004,1050.0,70,15
0e4978ed-8c70-430c-99cc-83f331b89174,1619,2023-09-15,FAU,Theta Phi Alpha,Unisex Hoodie,2120.0,53,40
0bf15ce7-2dff-46ee-8825-50b89dfd8aec,1619,2023-09-15,FAU,Theta Phi Alpha,San Clemente Shorts,1440.0,48,30
c205cd78-2c15-4849-9754-02edae1e0ce5,1616,2023-09-15,SJSU,Alpha Omicron Pi,Unisex Hoodie,880.0,22,40
3656f0aa-ae35-4f72-8fb0-f64340ddeadf,1616,2023-09-15,SJSU,Alpha Omicron Pi,San Clemente Shorts,680.0,17,40
c30eaa17-8263-40b9-aa2a-39c31cfd3e9d,1611,2023-09-12,SDSU,Pi Beta Phi,Laguna Tank,3870.0,215,18
0527132a-53ed-418d-bb9a-dc37f829c4a2,1599,2023-09-11,Denver,Alpha Phi,Unisex Crewneck,420.0,10,42
178f7916-025b-42db-9a86-9840f548e27b,1590,2023-09-09,Dartmouth,Alpha Phi,Malibu Tank,1260.0,70,18
eefe07c7-f72a-4222-bbb3-6329e8c0d734,1580,2023-09-07,Cal Poly Pomona,Sigma Kappa,Venice Tee,700.0,50,14
de2e1d1d-e38a-439d-b479-c69bc0b9446b,1572,2023-09-06,Berkeley,Alpha Phi,Hermosa Tank,1496.0,68,22
a4a3ad38-bacc-4849-9e42-60b819c16a31,1572,2023-09-06,Berkeley,Alpha Phi,San Clemente Shorts,1760.0,64,27.5
623bf7e3-9a4d-46c9-8539-349bcf02197b,1572,2023-09-06,Berkeley,Alpha Phi,Tote Bag,756.0,42,18
6207d42c-b36e-41c5-afca-e621d086e832,1571,2023-09-06,Indiana,Phi Kappa Psi,Unisex Tee,1278.0,71,18
0ce3971a-5d57-4d61-8b89-0ff751f03bae,1571,2023-09-06,Indiana,Phi Kappa Psi,Quarter Zip,2160.0,54,40
2a8da538-8b4f-455d-8966-1d8480c9290b,1571,2023-09-06,Indiana,Phi Kappa Psi,Unisex Crewneck,1750.0,50,35
6b330d7d-60fb-4a4f-9b3e-5a39654aed98,1570,2023-09-06,Indiana,Alpha Xi Delta,Unisex Crewneck,4825.0,193,25
1af077c5-6c3e-4d3c-affb-47014dfd4cac,1567,2023-09-05,CSULB,Delta Gamma,Backpack,1260.0,45,28
e224b211-54b4-4e10-a37e-ea086d51551c,1543,2023-08-30,WMU,Delta Zeta,Malibu Tank,1200.0,60,20
fc28595b-d2e3-4e45-808d-9203eb1840f5,1537,2023-08-28,Penn State,Gamma Phi Beta,Unisex Crewneck,1824.0,57,32
73296495-b49a-461c-ab68-26dd52df1353,1537,2023-08-28,Penn State,Gamma Phi Beta,JOG2,1152.0,36,32
44f8f7bb-c0d1-4439-8455-dd37f437145d,1537,2023-08-28,Penn State,Gamma Phi Beta,Unisex Hoodie,2014.0,53,38
32c58a7e-1334-41b7-bd02-28ea8fce4cfc,1537,2023-08-28,Penn State,Gamma Phi Beta,JOG4,1610.0,46,35
8cdbb1b9-2eed-4620-a608-0c225fb7c9d2,1537,2023-08-28,Penn State,Gamma Phi Beta,Button,116.0,58,2
e2f4f4ff-038f-4057-8ed6-2104e3d3971c,1526,2023-08-23,Dartmouth,Alpha Phi,Newport Tee,1728.0,96,18
0426f514-7e81-4b97-8154-440decc3c817,1521,2023-08-21,MSU,Alpha Chi Omega,Trucker Hat,1798.5,109,16.5
e3d1fe2e-835a-4278-84ee-1afafcc106f6,1519,2023-08-21,CSUF,Alpha Delta Pi,Backpack,1064.0,38,28
f279bcce-1fca-4198-91ba-ab6e54ad0b2f,1512,2023-08-18,Plymouth,Delta Zeta,Unisex Tee,510.0,34,15
842b2569-8382-4789-90ac-504329c01e80,1512,2023-08-18,Plymouth,Delta Zeta,Credit Card Fee,15.3,1,15.3
204190ff-8b45-473b-89c9-657662c4f3fd,1504,2023-08-16,UCI,Delta Delta Delta,Laguna Tank,1140.0,57,20
dd551acb-317c-44f3-b3a0-4a6f522b7443,1504,2023-08-16,UCI,Delta Delta Delta,Laguna Tank,1000.0,50,20
f157318d-3cfe-4c65-9222-a4aaefd78481,1482,2023-08-12,CSULB,Alpha Omicron Pi,Newport Tee,1479.0,87,17
cf1df05f-50e3-4bca-9162-701365b238fe,1482,2023-08-12,CSULB,Alpha Omicron Pi,Credit Card Fee,44.37,1,44.37
0998ada8-dc37-40ec-90be-d059fad1067b,1460,2023-08-08,Berkeley,Alpha Phi,Malibu Tank,935.0,55,17
a90418ab-fdc8-44ce-bd32-d4144a2f0062,1460,2023-08-08,Berkeley,Alpha Phi,Malibu Tank,1972.0,116,17
6e3d19d8-c5a0-403d-9335-0877d1a84b5c,1460,2023-08-08,Berkeley,Alpha Phi,Trucker Hat,912.0,57,16
fa1f8cea-ee05-4e2f-89b0-9aea05b0b4b1,1460,2023-08-08,Berkeley,Alpha Phi,Sticker,0,60,0
4bada25e-28c5-4c65-ab46-8fc9facf420f,1449,2023-08-08,Washington,Gamma Phi Beta,Unisex Hoodie,3024.0,72,42
d8928333-2afb-4898-b42c-ee796feeffd1,1449,2023-08-08,Washington,Gamma Phi Beta,4SHO,1980.0,72,27.5
ed836ea7-8f5f-451a-87ec-a77150e46213,1446,2023-08-07,Cal Poly Pomona,Zeta Tau Alpha,REG6,705.6,49,14.4
39a65d33-da8e-46ca-9aaa-9bbb1aed2edf,1440,2023-08-07,,Golden State Crane,Unisex Crewneck,405.0,9,45
5a1079a6-61e1-4973-b89f-60412b7d28b5,1435,2023-08-05,New Hampshire,Alpha Phi,Basketball Jersey,1520.0,40,38
8f8fca67-e639-48e2-a302-5af39ca23536,1435,2023-08-05,New Hampshire,Alpha Phi,Basketball Jersey,4750.0,125,38
3a3e98f5-836c-423c-aa8d-16d5d37b4589,1423,2023-08-03,North Dakota,Alpha Phi,BASE1,875.0,50,17.5
93910928-ce28-4395-a4e7-28e27ddb9596,1423,2023-08-03,North Dakota,Alpha Phi,Unisex Tee,540.0,30,18
91a8f1d6-2e5e-4b20-820d-47920eac6c2b,1418,2023-08-03,NAU,Delta Delta Delta,BABY1,1200.0,75,16
d55fd513-51bd-48fe-ab91-13bf0fb8d692,1418,2023-08-03,NAU,Delta Delta Delta,STITCH1,1200.0,75,16
d8a5643c-05af-44ab-b5e6-45ae108ad282,1418,2023-08-03,NAU,Delta Delta Delta,BABY1,1200.0,75,16
f6cd3127-62cd-4b2c-a2e0-6c530eb5f9ba,1418,2023-08-03,NAU,Delta Delta Delta,Dress,2100.0,75,28
9f762c84-c5c8-49ce-a777-a7d16d88db65,1418,2023-08-03,NAU,Delta Delta Delta,BABY2,1200.0,75,16
f995ae44-b353-4f56-818e-86671dc00ca7,1418,2023-08-03,NAU,Delta Delta Delta,STITCH2,640.0,40,16
bb90d8e9-b74e-4b4c-80c0-f66c315dd42a,1418,2023-08-03,NAU,Delta Delta Delta,STITCH2,1200.0,75,16
17c72de2-a476-4942-a4db-9a4c590b2bc0,1412,2023-08-01,CSULB,Alpha Omicron Pi,Ruched Tank,1200.0,60,20
90a30b2e-f955-4e48-990c-d09a36f84b3f,1412,2023-08-01,CSULB,Alpha Omicron Pi,BASE1,1080.0,60,18
ad15725c-a51f-4654-818d-5078a9a128ca,1412,2023-08-01,CSULB,Alpha Omicron Pi,Credit Card Fee,68.4,1,68.4
38f70f5f-2e82-43ac-9ede-38745a474447,1400,2023-08-01,,Golden State Crane,Hanes 5190,1540.0,70,22
518cac0b-e94e-4921-aed4-5b150b22cf4c,1400,2023-08-01,,Golden State Crane,Gildan 2410,1680.0,70,24
7eb3db3e-eee4-49b5-b68f-244ad3234f66,1391,2023-07-28,Virginia Tech,Alpha Chi Omega,Comfort Colors 1717,2133.0,158,13.5
d48171df-f8ea-4bc2-9d1a-d4e76317f20b,1379,2023-07-27,MSU,Gamma Phi Beta,BABY1,1712.0,107,16
f13445b9-c01f-4ebb-861e-9130ac352f83,1379,2023-07-27,MSU,Gamma Phi Beta,Unisex Tee,1800.0,120,15
66e3c01a-47d6-423e-89a7-cdf8950f3938,1360,2023-07-25,Sac State,Phi Mu,BASE1,522.0,29,18
69e43aa6-fddc-4174-890e-86bab2464c04,1355,2023-07-25,Berkeley,Alpha Phi,Bella+Canvas 6004,1856.0,116,16
8d64a799-6706-4c91-84f7-325e44b63783,1355,2023-07-25,Berkeley,Alpha Phi,Air Freshener,0,116,0
c64c4e74-2658-4710-8624-91213f9796ab,1319,2023-07-18,UCI,Pi Beta Phi,ASU1,1296.0,81,16
7427a0fb-dd90-4bce-abc1-609a7faa9a27,1319,2023-07-18,UCI,Pi Beta Phi,BABY2,700.0,35,20
3a16325c-83d6-472e-9295-bf20d3385672,1319,2023-07-18,UCI,Pi Beta Phi,Tote Bag,600.0,50,12
886bca10-5525-42f5-a0ae-65aaba2ea632,1313,2023-07-15,,Karson Humiston,Trucker Hat,2500.0,200,12.5
796931af-49b1-4d45-bc13-db5e03ca2832,1301,2023-07-13,West Chester,Alpha Sigma Tau,MAUI1,1309.0,77,17
e3802176-f5fd-4b94-ad1d-1c1b97129e24,1301,2023-07-13,West Chester,Alpha Sigma Tau,4SHO,1794.0,69,26
4d2db09d-9d4c-4efe-b6d5-ad89bb431475,1300,2023-07-13,,Alpha Chi Omega,Unisex Tee,450.0,30,15
cb145623-f741-43e7-b05e-01e01493c612,1300,2023-07-13,,Alpha Chi Omega,Unisex Tank,144.0,12,12
94c85f18-afc5-4651-911f-ba6f97a6234a,1300,2023-07-13,,Alpha Chi Omega,Unisex Hoodie,408.0,12,34
12000149-b4d4-4890-8dc8-815144d88faf,1291,2023-07-10,New Hampshire,Alpha Phi,BABY1,2125.0,125,17
282a9caf-dc53-4feb-a7f2-dddac5868378,1284,2023-07-07,Drexel,Delta Phi Epsilon,Venice Tee,30.0,3,10
8ffd47d4-335b-40b0-864d-b379d2f62d58,1284,2023-07-07,Drexel,Delta Phi Epsilon,Laguna Tank,30.0,3,10
72bae9a7-686d-41d6-896e-4e046d35c82c,1249,2023-06-28,UCI,Delta Delta Delta,STITCH2,1178.0,62,19
c462efdd-1429-4629-ba6a-9469b51ebdcb,1249,2023-06-28,UCI,Delta Delta Delta,Credit Card Fee,35.35,1,35.354
b0c5eedf-c7bb-4e91-975f-1f0f5800b925,1236,2023-06-23,CSUF,Alpha Delta Pi,Unisex Tee,960.0,60,16
cc8324c1-d972-4c21-8e5e-7ffd133a6a33,1236,2023-06-23,CSUF,Alpha Delta Pi,BABY2,160.0,10,16
a1dafcaf-0c70-402f-807b-5ee58c49a6fe,1236,2023-06-23,CSUF,Alpha Delta Pi,BABY1,800.0,50,16
5dbb9469-0a17-4328-b604-b303617d3ebc,1236,2023-06-23,CSUF,Alpha Delta Pi,BABY2,288.0,18,16
d144365f-4c3d-4497-b6a1-ee32a931f660,1236,2023-06-23,CSUF,Alpha Delta Pi,BABY1,672.0,42,16
b80d62ca-a104-4fdc-ae27-923b23f5d04b,1236,2023-06-23,CSUF,Alpha Delta Pi,STITCH2,68.0,4,17
6870213d-a0b2-4782-bde8-f113ca15720b,1236,2023-06-23,CSUF,Alpha Delta Pi,STITCH1,952.0,56,17
b9d6ca5a-a555-432a-acb2-408f27b06e9f,1236,2023-06-23,CSUF,Alpha Delta Pi,RICH2,1020.0,60,17
c7a3cca8-9918-464e-954a-0af49e16eaee,1236,2023-06-23,CSUF,Alpha Delta Pi,4SHO,1500.0,60,25
0dea90f1-cb7b-4704-8fcb-537f0881b6c8,1236,2023-06-23,CSUF,Alpha Delta Pi,Backpack,1708.0,61,28
d082de14-ab2c-4d9e-bc37-b0d51d1872db,1207,2023-06-13,Nevada,Delta Delta Delta,Henley,1500.0,100,15
187ff9d4-e9a3-4d37-9844-7fb85493fca9,1207,2023-06-13,Nevada,Delta Delta Delta,RICH2,1400.0,100,14
fcd47087-08cc-4b53-96e4-54033b1e9fc6,1207,2023-06-13,Nevada,Delta Delta Delta,Unisex Tee,340.0,34,10
ad28d72e-4a1b-4ddb-8b76-6edf96bffd70,1207,2023-06-13,Nevada,Delta Delta Delta,Unisex Tee,320.0,32,10
b95d8d22-3be5-4dee-9b12-e9a11e347971,1207,2023-06-13,Nevada,Delta Delta Delta,Unisex Tee,340.0,34,10
34ad1974-b121-4e7a-b7fc-6d91d2b998e8,1207,2023-06-13,Nevada,Delta Delta Delta,Unisex Tee,470.0,47,10
4c0925a4-1430-4a68-8b4b-16aa02b61112,1207,2023-06-13,Nevada,Delta Delta Delta,Trucker Hat,140.0,10,14
d9ef1b62-8773-4150-8a7d-0a050d2c9b43,1207,2023-06-13,Nevada,Delta Delta Delta,Trucker Hat,140.0,10,14
6d66f200-1a8c-46f9-a054-ca77a0070f7f,1207,2023-06-13,Nevada,Delta Delta Delta,Trucker Hat,140.0,10,14
c696318f-9670-42ee-b30a-badde5ac203a,1207,2023-06-13,Nevada,Delta Delta Delta,Trucker Hat,658.0,47,14
4856fe03-5444-472f-a9a4-eb575d7087ad,1180,2023-06-05,UCI,Sigma Pi,Unisex Tee,230.0,23,10
e2edd98e-5736-422a-bb07-6fa4601a9678,1180,2023-06-05,UCI,Sigma Pi,Unisex Hoodie,430.0,43,10
faae2178-27ed-4865-a779-18f6a2496156,1136,2023-05-12,SLO,Sigma Kappa,Mug,600.0,100,6
57704d2a-aae4-4fe2-8c43-43bcae488376,1128,2023-05-10,Dartmouth,Alpha Phi,Miami Shorts,990.0,33,30
48005b08-351f-4f1f-885f-aaf462f0eae2,1128,2023-05-10,Dartmouth,Alpha Phi,Socks,180.0,12,15
4429ea4b-f07d-4137-872f-e3a3e1d01b55,1114,2023-05-05,CSUF,Sigma Kappa,RICH2,216.0,9,24
81a76d8f-b68b-4d0d-92ef-5c7c03f00f55,1114,2023-05-05,CSUF,Sigma Kappa,RICH1,2304.0,96,24
